UTM,BID,OFFER,LTP,LTV
2020-09-04 00:13:53.159000,10869.74,10905.74,,1
2020-09-04 00:13:53.908000,10869.65,10905.65,,1
2020-09-04 00:13:54.158000,10869.74,10905.74,,1
2020-09-04 00:13:54.410000,10869.77,10905.77,,1
2020-09-04 00:13:54.660000,10869.64,10905.64,,1
2020-09-04 00:13:54.909000,10869.62,10905.62,,1
2020-09-04 00:13:55.160000,10869.69,10905.69,,1
2020-09-04 00:13:57.883000,10869.83,10905.83,,1
2020-09-04 00:13:58.127000,10869.63,10905.63,,1
2020-09-04 00:13:58.378000,10869.54,10905.54,,1
2020-09-04 00:13:59.079000,10869.29,10905.29,,1
2020-09-04 00:13:59.328000,10869.34,10905.34,,1
2020-09-04 00:13:59.578000,10869.38,10905.38,,1
2020-09-04 00:13:59.829000,10869.37,10905.37,,1
2020-09-04 00:14:00.080000,10869.29,10905.29,,1
2020-09-04 00:14:00.330000,10869.57,10905.57,,1
2020-09-04 00:14:00.601000,10869.67,10905.67,,1
2020-09-04 00:14:00.851000,10869.90,10905.90,,1
2020-09-04 00:14:01.106000,10869.98,10905.98,,1
2020-09-04 00:14:01.609000,10869.69,10905.69,,1
2020-09-04 00:14:01.876000,10869.98,10905.98,,1
2020-09-04 00:14:03.070000,10869.91,10905.91,,1
2020-09-04 00:14:03.314000,10869.51,10905.51,,1
2020-09-04 00:14:03.562000,10869.56,10905.56,,1
2020-09-04 00:14:04.022000,10869.49,10905.49,,1
2020-09-04 00:14:04.261000,10869.63,10905.63,,1
2020-09-04 00:14:04.676000,10869.54,10905.54,,1
2020-09-04 00:14:04.925000,10869.58,10905.58,,1
2020-09-04 00:14:06.673000,10869.65,10905.65,,1
2020-09-04 00:14:07.018000,10869.57,10905.57,,1
2020-09-04 00:14:07.693000,10869.67,10905.67,,1
2020-09-04 00:14:08.217000,10869.56,10905.56,,1
2020-09-04 00:14:08.470000,10869.57,10905.57,,1
2020-09-04 00:14:08.722000,10869.61,10905.61,,1
2020-09-04 00:14:08.972000,10869.60,10905.60,,1
2020-09-04 00:14:09.220000,10869.85,10905.85,,1
2020-09-04 00:14:09.468000,10869.75,10905.75,,1
2020-09-04 00:14:09.719000,10869.41,10905.41,,1
2020-09-04 00:14:09.968000,10869.71,10905.71,,1
2020-09-04 00:14:10.217000,10869.70,10905.70,,1
2020-09-04 00:14:10.469000,10869.42,10905.42,,1
2020-09-04 00:14:11.249000,10869.38,10905.38,,1
2020-09-04 00:14:11.999000,10869.28,10905.28,,1
2020-09-04 00:14:12.249000,10869.50,10905.50,,1
2020-09-04 00:14:12.498000,10869.15,10905.15,,1
2020-09-04 00:14:12.745000,10869.46,10905.46,,1
2020-09-04 00:14:12.997000,10869.17,10905.17,,1
2020-09-04 00:14:13.247000,10869.18,10905.18,,1
2020-09-04 00:14:13.497000,10869.44,10905.44,,1
2020-09-04 00:14:13.746000,10869.61,10905.61,,1
2020-09-04 00:14:14.247000,10869.91,10905.91,,1
2020-09-04 00:14:14.996000,10869.53,10905.53,,1
2020-09-04 00:14:15.247000,10869.48,10905.48,,1
2020-09-04 00:14:15.495000,10869.66,10905.66,,1
2020-09-04 00:14:15.746000,10869.55,10905.55,,1
2020-09-04 00:14:16.251000,10869.58,10905.58,,1
2020-09-04 00:14:16.497000,10869.60,10905.60,,1
2020-09-04 00:14:16.748000,10869.62,10905.62,,1
2020-09-04 00:14:17.247000,10869.64,10905.64,,1
2020-09-04 00:14:17.747000,10869.65,10905.65,,1
2020-09-04 00:14:18.616000,10869.59,10905.59,,1
2020-09-04 00:14:18.863000,10869.67,10905.67,,1
2020-09-04 00:14:19.496000,10869.55,10905.55,,1
2020-09-04 00:14:19.746000,10869.59,10905.59,,1
2020-09-04 00:14:19.995000,10869.62,10905.62,,1
2020-09-04 00:14:20.238000,10869.43,10905.43,,1
2020-09-04 00:14:20.489000,10868.86,10904.86,,1
2020-09-04 00:14:20.740000,10869.06,10905.06,,1
2020-09-04 00:14:20.991000,10868.82,10904.82,,1
2020-09-04 00:14:21.284000,10869.06,10905.06,,1
2020-09-04 00:14:21.533000,10869.17,10905.17,,1
2020-09-04 00:14:22.036000,10868.87,10904.87,,1
2020-09-04 00:14:22.480000,10869.29,10905.29,,1
2020-09-04 00:14:22.731000,10868.88,10904.88,,1
2020-09-04 00:14:22.979000,10868.47,10904.47,,1
2020-09-04 00:14:23.230000,10868.88,10904.88,,1
2020-09-04 00:14:24.113000,10868.84,10904.84,,1
