UTM,BID,OFFER,LTP,LTV
2020-09-05 17:32:12.991000,380.38,382.38,,1
2020-09-05 17:32:13.790000,380.35,382.35,,1
2020-09-05 17:32:14.200000,380.38,382.38,,1
2020-09-05 17:32:15.037000,380.35,382.35,,1
2020-09-05 17:32:15.824000,380.43,382.43,,1
2020-09-05 17:32:16.076000,380.45,382.45,,1
2020-09-05 17:32:16.325000,380.44,382.44,,1
2020-09-05 17:32:16.918000,380.43,382.43,,1
2020-09-05 17:32:17.169000,380.42,382.42,,1
2020-09-05 17:32:17.666000,380.41,382.41,,1
2020-09-05 17:32:18.169000,380.40,382.40,,1
2020-09-05 17:32:18.418000,380.39,382.39,,1
2020-09-05 17:32:18.703000,380.38,382.38,,1
2020-09-05 17:32:18.954000,380.41,382.41,,1
2020-09-05 17:32:19.456000,380.40,382.40,,1
2020-09-05 17:32:19.704000,380.39,382.39,,1
2020-09-05 17:32:19.955000,380.40,382.40,,1
2020-09-05 17:32:20.320000,380.38,382.38,,1
2020-09-05 17:32:20.569000,380.40,382.40,,1
2020-09-05 17:32:20.819000,380.38,382.38,,1
2020-09-05 17:32:21.070000,380.40,382.40,,1
2020-09-05 17:32:21.319000,380.47,382.47,,1
2020-09-05 17:32:22.069000,380.48,382.48,,1
2020-09-05 17:32:22.389000,380.49,382.49,,1
2020-09-05 17:32:22.999000,380.50,382.50,,1
2020-09-05 17:32:23.251000,380.49,382.49,,1
2020-09-05 17:32:23.499000,380.50,382.50,,1
2020-09-05 17:32:24.109000,380.51,382.51,,1
2020-09-05 17:32:24.359000,380.54,382.54,,1
2020-09-05 17:32:24.609000,380.59,382.59,,1
2020-09-05 17:32:24.859000,380.62,382.62,,1
2020-09-05 17:32:25.110000,380.67,382.67,,1
2020-09-05 17:32:25.360000,380.66,382.66,,1
2020-09-05 17:32:25.609000,380.68,382.68,,1
2020-09-05 17:32:25.858000,380.67,382.67,,1
2020-09-05 17:32:26.522000,380.69,382.69,,1
2020-09-05 17:32:26.772000,380.72,382.72,,1
2020-09-05 17:32:27.956000,380.74,382.74,,1
2020-09-05 17:32:28.705000,380.72,382.72,,1
2020-09-05 17:32:28.954000,380.70,382.70,,1
2020-09-05 17:32:29.206000,380.71,382.71,,1
2020-09-05 17:32:29.454000,380.70,382.70,,1
2020-09-05 17:32:29.955000,380.69,382.69,,1
2020-09-05 17:32:30.371000,380.71,382.71,,1
2020-09-05 17:32:30.869000,380.78,382.78,,1
2020-09-05 17:32:31.621000,380.82,382.82,,1
2020-09-05 17:32:32.929000,380.83,382.83,,1
2020-09-05 17:32:33.179000,380.80,382.80,,1
2020-09-05 17:32:33.427000,380.79,382.79,,1
2020-09-05 17:32:33.678000,380.78,382.78,,1
2020-09-05 17:32:33.927000,380.76,382.76,,1
2020-09-05 17:32:34.859000,380.78,382.78,,1
